"",".metric",".estimator",".estimate","model","dataset","value_round"
"86","mape","standard",0.387130209290564,"prophet","Q13430",0.387
"87","smape","standard",0.388490251312373,"prophet","Q13430",0.388
"88","mase","standard",0.550973591328586,"prophet","Q13430",0.551
"89","mpe","standard",0.335283784847415,"prophet","Q13430",0.335
"90","rmse","standard",6.61710095552519,"prophet","Q13430",6.617
"91","mape","standard",81.1093493029822,"ets_xls","Y12774",81.109
"92","smape","standard",57.5487069998694,"ets_xls","Y12774",57.549
"93","mase","standard",9.95111587325889,"ets_xls","Y12774",9.951
"94","mpe","standard",-81.1093493029822,"ets_xls","Y12774",-81.109
"95","rmse","standard",2497.692547233,"ets_xls","Y12774",2497.693
"96","mape","standard",6.66705710871893,"ARIMA","Y12774",6.667
"97","smape","standard",6.53767616465931,"ARIMA","Y12774",6.538
"98","mase","standard",0.815404460419106,"ARIMA","Y12774",0.815
"99","mpe","standard",-3.22774334721907,"ARIMA","Y12774",-3.228
"100","rmse","standard",246.818002627618,"ARIMA","Y12774",246.818
"101","mape","standard",44.0284565225164,"prophet","Y12774",44.028
"102","smape","standard",34.1254930891887,"prophet","Y12774",34.125
"103","mase","standard",5.28053192300147,"prophet","Y12774",5.281
"104","mpe","standard",-44.0284565225164,"prophet","Y12774",-44.028
"105","rmse","standard",1522.27133116514,"prophet","Y12774",1522.271
"106","mape","standard",167.228187817069,"ets_xls","M33412",167.228
"107","smape","standard",74.8475074213061,"ets_xls","M33412",74.848
"108","mase","standard",0.693685911639007,"ets_xls","M33412",0.694
"109","mpe","standard",-139.420119259462,"ets_xls","M33412",-139.42
"110","rmse","standard",3207.45871308452,"ets_xls","M33412",3207.459
"111","mape","standard",278.272693777767,"ARIMA","M33412",278.273
"112","smape","standard",84.5490984692496,"ARIMA","M33412",84.549
"113","mase","standard",0.909403263252733,"ARIMA","M33412",0.909
"114","mpe","standard",-266.739180574684,"ARIMA","M33412",-266.739
"115","rmse","standard",3701.87516404222,"ARIMA","M33412",3701.875
"116","mape","standard",259.630160355215,"prophet","M33412",259.63
"117","smape","standard",77.1166275441821,"prophet","M33412",77.117
"118","mase","standard",0.801517620932701,"prophet","M33412",0.802
"119","mpe","standard",-240.377466007281,"prophet","M33412",-240.377
"120","rmse","standard",3609.42716373374,"prophet","M33412",3609.427
"121","mape","standard",2.00139987802466,"ets_xls","M28140",2.001
"122","smape","standard",1.96630893533157,"ets_xls","M28140",1.966
"123","mase","standard",7.18509612274468,"ets_xls","M28140",7.185
"124","mpe","standard",-1.61658143393905,"ets_xls","M28140",-1.617
"125","rmse","standard",269.955715945576,"ets_xls","M28140",269.956
"126","mape","standard",2.02263678898879,"ARIMA","M28140",2.023
"127","smape","standard",1.98906864548994,"ARIMA","M28140",1.989
"128","mase","standard",7.26359015056782,"ARIMA","M28140",7.264
"129","mpe","standard",-1.49308592370129,"ARIMA","M28140",-1.493
"130","rmse","standard",266.655049147139,"ARIMA","M28140",266.655
"131","mape","standard",6.56296394327611,"prophet","M28140",6.563
"132","smape","standard",6.78768946266101,"prophet","M28140",6.788
"133","mase","standard",23.7761785979065,"prophet","M28140",23.776
"134","mpe","standard",6.56296394327611,"prophet","M28140",6.563
"135","rmse","standard",660.285048921046,"prophet","M28140",660.285
"136","mape","standard",5.2898413112552,"ets_xls","Q16344",5.29
"137","smape","standard",5.12282139993262,"ets_xls","Q16344",5.123
"138","mase","standard",2.69109075852641,"ets_xls","Q16344",2.691
"139","mpe","standard",-5.2898413112552,"ets_xls","Q16344",-5.29
"140","rmse","standard",674.241097270531,"ets_xls","Q16344",674.241
"141","mape","standard",3.11212254236616,"ARIMA","Q16344",3.112
"142","smape","standard",3.09308994059663,"ARIMA","Q16344",3.093
"143","mase","standard",1.60245268428802,"ARIMA","Q16344",1.602
"144","mpe","standard",-1.02965169480347,"ARIMA","Q16344",-1.03
"145","rmse","standard",405.268388118834,"ARIMA","Q16344",405.268
"146","mape","standard",17.5859649866843,"prophet","Q16344",17.586
"147","smape","standard",16.0808286669051,"prophet","Q16344",16.081
"148","mase","standard",9.03454482173414,"prophet","Q16344",9.035
"149","mpe","standard",-17.5859649866843,"prophet","Q16344",-17.586
"150","rmse","standard",2112.82075224381,"prophet","Q16344",2112.821
"151","mape","standard",40.3254213833358,"ets_xls","Q17032",40.325
"152","smape","standard",54.4323832309935,"ets_xls","Q17032",54.432
"153","mase","standard",1.04908413653715,"ets_xls","Q17032",1.049
"154","mpe","standard",35.4821311463881,"ets_xls","Q17032",35.482
"155","rmse","standard",9009.8009172379,"ets_xls","Q17032",9009.801
"156","mape","standard",45.6016190042025,"ARIMA","Q17032",45.602
"157","smape","standard",61.6649041078804,"ARIMA","Q17032",61.665
"158","mase","standard",1.15349717868982,"ARIMA","Q17032",1.153
