"",".metric",".estimator",".estimate","model","dataset","description","value_round"
"185","rmse","standard",1231.86468453952,"prophet","M236","FRANCE PRIVATE INDUSTRY FRANVCE",1231.865
"186","rsq","standard",0.6793033442412,"prophet","M236","FRANCE PRIVATE INDUSTRY FRANVCE",0.679
"187","msd","standard",316.840404278319,"prophet","M236","FRANCE PRIVATE INDUSTRY FRANVCE",316.84
"188","mae","standard",1038.42208577777,"prophet","M236","FRANCE PRIVATE INDUSTRY FRANVCE",1038.422
"189","mpe","standard",1.86244954181856,"prophet","M236","FRANCE PRIVATE INDUSTRY FRANVCE",1.862
"190","mape","standard",8.18058020621448,"prophet","M236","FRANCE PRIVATE INDUSTRY FRANVCE",8.181
"191","smape","standard",8.2967764834937,"prophet","M236","FRANCE PRIVATE INDUSTRY FRANVCE",8.297
"192","mase","standard",0.583801849251515,"prophet","M236","FRANCE PRIVATE INDUSTRY FRANVCE",0.584
"193","rmse","standard",3811.04301911301,"ets_xls","M238","FRANCE PRIVATE INDUSTRY FRANCE",3811.043
"194","rsq","standard",0.395396607883225,"ets_xls","M238","FRANCE PRIVATE INDUSTRY FRANCE",0.395
"195","msd","standard",2780.50271017662,"ets_xls","M238","FRANCE PRIVATE INDUSTRY FRANCE",2780.503
"196","mae","standard",3069.66424398251,"ets_xls","M238","FRANCE PRIVATE INDUSTRY FRANCE",3069.664
"197","mpe","standard",14.7825963143191,"ets_xls","M238","FRANCE PRIVATE INDUSTRY FRANCE",14.783
"198","mape","standard",16.9733438782852,"ets_xls","M238","FRANCE PRIVATE INDUSTRY FRANCE",16.973
"199","smape","standard",19.2531057394265,"ets_xls","M238","FRANCE PRIVATE INDUSTRY FRANCE",19.253
"200","mase","standard",1.04370504712692,"ets_xls","M238","FRANCE PRIVATE INDUSTRY FRANCE",1.044
"201","rmse","standard",2381.91959850068,"prophet","M238","FRANCE PRIVATE INDUSTRY FRANCE",2381.92
"202","rsq","standard",0.509408985593895,"prophet","M238","FRANCE PRIVATE INDUSTRY FRANCE",0.509
"203","msd","standard",-400.414692775988,"prophet","M238","FRANCE PRIVATE INDUSTRY FRANCE",-400.415
"204","mae","standard",2079.39148921615,"prophet","M238","FRANCE PRIVATE INDUSTRY FRANCE",2079.391
"205","mpe","standard",-5.0059564681618,"prophet","M238","FRANCE PRIVATE INDUSTRY FRANCE",-5.006
"206","mape","standard",13.6576652683912,"prophet","M238","FRANCE PRIVATE INDUSTRY FRANCE",13.658
"207","smape","standard",12.8494041708989,"prophet","M238","FRANCE PRIVATE INDUSTRY FRANCE",12.849
"208","mase","standard",0.707006115246013,"prophet","M238","FRANCE PRIVATE INDUSTRY FRANCE",0.707
"209","rmse","standard",417.864100942047,"ets_xls","M240","FRANCE PRIVATE INDUSTRY FRANCE",417.864
"210","rsq","standard",0.464358409235467,"ets_xls","M240","FRANCE PRIVATE INDUSTRY FRANCE",0.464
"211","msd","standard",-216.265003982693,"ets_xls","M240","FRANCE PRIVATE INDUSTRY FRANCE",-216.265
"212","mae","standard",304.809493372206,"ets_xls","M240","FRANCE PRIVATE INDUSTRY FRANCE",304.809
"213","mpe","standard",-27.9754357787731,"ets_xls","M240","FRANCE PRIVATE INDUSTRY FRANCE",-27.975
"214","mape","standard",33.1333346630659,"ets_xls","M240","FRANCE PRIVATE INDUSTRY FRANCE",33.133
"215","smape","standard",22.9718071208858,"ets_xls","M240","FRANCE PRIVATE INDUSTRY FRANCE",22.972
"216","mase","standard",1.48602276665544,"ets_xls","M240","FRANCE PRIVATE INDUSTRY FRANCE",1.486
"217","rmse","standard",379.553037977235,"prophet","M240","FRANCE PRIVATE INDUSTRY FRANCE",379.553
"218","rsq","standard",0.185132767400806,"prophet","M240","FRANCE PRIVATE INDUSTRY FRANCE",0.185
"219","msd","standard",-239.236822372794,"prophet","M240","FRANCE PRIVATE INDUSTRY FRANCE",-239.237
"220","mae","standard",299.461077240662,"prophet","M240","FRANCE PRIVATE INDUSTRY FRANCE",299.461
"221","mpe","standard",-25.2060994136557,"prophet","M240","FRANCE PRIVATE INDUSTRY FRANCE",-25.206
"222","mape","standard",28.7105627900911,"prophet","M240","FRANCE PRIVATE INDUSTRY FRANCE",28.711
"223","smape","standard",22.541545901456,"prophet","M240","FRANCE PRIVATE INDUSTRY FRANCE",22.542
"224","mase","standard",1.45994789592523,"prophet","M240","FRANCE PRIVATE INDUSTRY FRANCE",1.46
"225","rmse","standard",41.6577534290453,"ets_xls","M243","FRANCE PRIVATE FUEL CONSUMPTION",41.658
"226","rsq","standard",0.430187356806286,"ets_xls","M243","FRANCE PRIVATE FUEL CONSUMPTION",0.43
"227","msd","standard",-17.1779958711236,"ets_xls","M243","FRANCE PRIVATE FUEL CONSUMPTION",-17.178
"228","mae","standard",34.6310410916914,"ets_xls","M243","FRANCE PRIVATE FUEL CONSUMPTION",34.631
"229","mpe","standard",-3.4401273933458,"ets_xls","M243","FRANCE PRIVATE FUEL CONSUMPTION",-3.44
"230","mape","standard",6.25854117829053,"ets_xls","M243","FRANCE PRIVATE FUEL CONSUMPTION",6.259
"231","smape","standard",6.01985070900941,"ets_xls","M243","FRANCE PRIVATE FUEL CONSUMPTION",6.02
"232","mase","standard",0.543608216582413,"ets_xls","M243","FRANCE PRIVATE FUEL CONSUMPTION",0.544
"233","rmse","standard",36.4850428584745,"prophet","M243","FRANCE PRIVATE FUEL CONSUMPTION",36.485
"234","rsq","standard",0.733308838529143,"prophet","M243","FRANCE PRIVATE FUEL CONSUMPTION",0.733
"235","msd","standard",-20.4183649177013,"prophet","M243","FRANCE PRIVATE FUEL CONSUMPTION",-20.418
"236","mae","standard",28.8852998109047,"prophet","M243","FRANCE PRIVATE FUEL CONSUMPTION",28.885
"237","mpe","standard",-3.98448974022288,"prophet","M243","FRANCE PRIVATE FUEL CONSUMPTION",-3.984
"238","mape","standard",5.31870638424386,"prophet","M243","FRANCE PRIVATE FUEL CONSUMPTION",5.319
"239","smape","standard",5.0989090847921,"prophet","M243","FRANCE PRIVATE FUEL CONSUMPTION",5.099
"240","mase","standard",0.453416525194257,"prophet","M243","FRANCE PRIVATE FUEL CONSUMPTION",0.453
"241","rmse","standard",217.082716350286,"ets_xls","M383","OTHER PRIVATE COMPANY USA",217.083
"242","rsq","standard",0.318840176604566,"ets_xls","M383","OTHER PRIVATE COMPANY USA",0.319
"243","msd","standard",171.221328507845,"ets_xls","M383","OTHER PRIVATE COMPANY USA",171.221
"244","mae","standard",177.358474875991,"ets_xls","M383","OTHER PRIVATE COMPANY USA",177.358
"245","mpe","standard",6.75535837822457,"ets_xls","M383","OTHER PRIVATE COMPANY USA",6.755
"246","mape","standard",7.03768568829628,"ets_xls","M383","OTHER PRIVATE COMPANY USA",7.038
"247","smape","standard",7.4140381122745,"ets_xls","M383","OTHER PRIVATE COMPANY USA",7.414
"248","mase","standard",1.21632776202346,"ets_xls","M383","OTHER PRIVATE COMPANY USA",1.216
"249","rmse","standard",242.791411566603,"prophet","M383","OTHER PRIVATE COMPANY USA",242.791
"250","rsq","standard",0.381503162116211,"prophet","M383","OTHER PRIVATE COMPANY USA",0.382
